Country\year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Slovak Republic,73386.17,63926.6,58212.79,54796.04,52323.03,52888.94,52723.11,52634.99,51948.77,50561.42,48669.91,50925.39,49526.7,49680.81,50409.47,50357.19,50267.53,48477.95,48898.52,44706.18,45363.93,44555.47,42309.22,41862.56,39862.99,40712.46,41112.12,42226.7,42159.13,39948.33
Slovenia,18580.24,17228.31,17219.63,17468.76,17902.58,18690.99,19305.13,19851.92,19425.62,18805.73,18581.77,19851.46,20107.88,19776,20175.28,20433.19,20633.36,20817.43,21543.28,19378.09,19613.54,19540.39,18917.61,18220.97,16581.5,16760.95,17616.46,17696.6,17521.74,17065.45
South Africa,347349.36,359778,363364,366950,379837.16,374122,377708,381294,384880,388466,392052,395638,399224,402810,406396,409982,413568,417154,420740,424326,427912,431498,435084,438670,442256,445842,449428,453014,456600,460186
Spain,290001.47,297748.42,307391.55,296709.53,313335.54,329350.69,321413.46,335792.94,345414.75,372592.11,388211.54,385643.07,403700.67,411524.81,427387.29,442075.01,435255.58,446328.12,412136.25,372318.72,357876.02,357588.45,350317.74,323525.94,325609.36,336994.88,325465.7,338738.17,333250.41,314528.51
Sweden,71239.18,71495.94,71032.92,71336.93,73852.01,73185.39,77151.15,72137.84,72588,69504.5,68149.05,68963.19,69684.74,70052.93,69487.57,66662.53,66281.64,65164.48,62788.9,58523.68,64557.43,60230.62,57376.45,55718.95,53833.3,53998.52,53571.52,53010.59,52170.22,50919.87
Switzerland,53631.1,55542.61,55304.04,52752.23,51757.12,52684.05,53380.53,52219.92,53783.45,53634.57,52931.42,54477.08,52986.03,54080.41,54688.41,55348.19,55037.8,53123.6,54541.43,53083.92,54721.38,50606.4,51946.23,52831.53,48875.41,48415.62,48709.06,47868.93,46369.71,46108.19
Turkey,219572.21,226956.77,233185.06,240521.14,234496.43,247993.71,267614.11,278866.03,280419.45,277840.88,298954.23,280503.24,286227.35,305290.16,314843.15,337344.65,358571.11,391664.26,387853.21,395843.89,399143.06,428120.39,447582.09,439694.38,458953.88,473335.82,498886.78,524980.92,522476.63,506080.42
Ukraine,942574.07,856175.82,801154.32,711031.75,604727.18,561925.72,515089.6,499401.61,480725.92,449424.96,427602.79,445700.84,430839.88,440133.92,442916.37,442062.65,459698.39,463030,450790.66,390310.52,407123.69,428395.17,417435.21,409042.06,362608.94,319141.19,337456.51,323045.06,339797.89,332114.02
United Kingdom,794869.45,804232.67,783560.56,764121.94,754886.83,748483.64,770309.29,744640.42,742696.69,712883.46,711972.54,714597.26,694790.61,701372.64,697609.49,690112.27,683132.37,671465.5,650476.11,594416.68,608732.3,563659.98,580418.64,566545.83,526556.3,509050.72,484146.2,473389.98,466666.98,453101.46
United States,6442650.63,6373621.14,6486343.84,6604349.89,6691822.83,6775860.25,6981165.38,7036508.04,7083269.27,7125399.03,7313616.49,7202956.51,7244301.89,7301363.18,7415471.11,7423031.03,7344462.85,7449616.03,7224648.98,6772000.07,6991106.34,6827402.42,6585907.77,6764669.11,6824956.71,6671112.07,6520337.84,6483291.33,6671449.4,6558345.18
